Location,date,total_cases,population,percent_diagnosed
United States,8/27/2021,38788454,332915074,11.65115581
United States,8/28/2021,38849067,332915074,11.66936256
United States,8/29/2021,38891187,332915074,11.68201443
United States,8/30/2021,39151147,332915074,11.76010042
United States,8/31/2021,39321999,332915074,11.81142041
United States,9/1/2021,39523951,332915074,11.87208213
United States,9/2/2021,39699776,332915074,11.9248959
United States,9/3/2021,39934624,332915074,11.99543881
United States,9/4/2021,39999068,332915074,12.0147963
United States,9/5/2021,40039356,332915074,12.02689789
United States,9/6/2021,40114538,332915074,12.04948082
United States,9/7/2021,40391566,332915074,12.13269364
United States,9/8/2021,40573789,332915074,12.18742922
United States,9/9/2021,40733593,332915074,12.23543065
United States,9/10/2021,40961390,332915074,12.30385561
United States,9/11/2021,41025645,332915074,12.32315633
United States,9/12/2021,41061504,332915074,12.33392754
United States,9/13/2021,41322259,332915074,12.41225232
United States,9/14/2021,41467287,332915074,12.45581538
United States,9/15/2021,41638554,332915074,12.50726003
United States,9/16/2021,41793484,332915074,12.55379743
United States,9/17/2021,42001556,332915074,12.61629745
United States,9/18/2021,42058315,332915074,12.63334655
United States,9/19/2021,42094648,332915074,12.64426014
United States,9/20/2021,42296425,332915074,12.70486929
United States,9/21/2021,42417661,332915074,12.74128579
United States,9/22/2021,42550081,332915074,12.7810617
United States,9/23/2021,42675919,332915074,12.81886052
United States,9/24/2021,42853371,332915074,12.87216301
United States,9/25/2021,42900903,332915074,12.88644052
United States,9/26/2021,42931861,332915074,12.89573959
United States,9/27/2021,43116877,332915074,12.95131412
United States,9/28/2021,43226482,332915074,12.98423693
United States,9/29/2021,43349749,332915074,13.02126349
United States,9/30/2021,43460343,332915074,13.05448338
United States,10/1/2021,43618627,332915074,13.10202824
United States,10/2/2021,43657833,332915074,13.11380481
United States,10/3/2021,43683048,332915074,13.12137882
United States,10/4/2021,43852255,332915074,13.17220469
United States,10/5/2021,43947489,332915074,13.20081079
United States,10/6/2021,44058827,332915074,13.23425415
United States,10/7/2021,44158910,332915074,13.26431677
United States,10/8/2021,44290052,332915074,13.3037088
United States,10/9/2021,44317989,332915074,13.31210043
United States,10/10/2021,44340183,332915074,13.318767
United States,10/11/2021,44456385,332915074,13.35367139
United States,10/12/2021,44562693,332915074,13.38560386
United States,10/13/2021,44684150,332915074,13.42208674
United States,10/14/2021,44770279,332915074,13.4479579
United States,10/15/2021,44884598,332915074,13.48229669
United States,10/16/2021,44916737,332915074,13.4919505
United States,10/17/2021,44934357,332915074,13.49724314
United States,10/18/2021,45050910,332915074,13.53225297
United States,10/19/2021,45132148,332915074,13.55665499
United States,10/20/2021,45220898,332915074,13.58331344
United States,10/21/2021,45301044,332915074,13.60738745
United States,10/22/2021,45400466,332915074,13.63725152
United States,10/23/2021,45427464,332915074,13.6453611
United States,10/24/2021,45444260,332915074,13.65040623
United States,10/25/2021,45547158,332915074,13.68131441
