Location,date,total_cases,total_deaths,death_percentage
United States,4/25/2020,950298,56444,5.939610522
United States,4/26/2020,976871,57850,5.921969226
United States,4/27/2020,1000666,59330,5.929051252
United States,4/28/2020,1025354,61571,6.004852958
United States,4/29/2020,1051785,63962,6.08128087
United States,4/30/2020,1080942,66154,6.120032342
United States,5/1/2020,1115844,68063,6.09968777
United States,5/2/2020,1143248,69804,6.105761829
United States,5/3/2020,1167577,71007,6.081568924
United States,5/4/2020,1191815,72365,6.071831618
United States,5/5/2020,1216263,74586,6.132390774
United States,5/6/2020,1240643,76905,6.19880175
United States,5/7/2020,1268262,78822,6.214961893
United States,5/8/2020,1295396,80594,6.221572399
United States,5/9/2020,1320096,82058,6.216063074
United States,5/10/2020,1339110,83059,6.202552442
United States,5/11/2020,1358249,84093,6.191280097
United States,5/12/2020,1381136,85684,6.203878546
United States,5/13/2020,1401652,87416,6.236640764
United States,5/14/2020,1428388,89197,6.244591806
United States,5/15/2020,1453085,90862,6.253040944
United States,5/16/2020,1477370,92060,6.231343536
United States,5/17/2020,1496009,92891,6.209254089
United States,5/18/2020,1518223,94110,6.198694131
United States,5/19/2020,1539142,95555,6.208329056
United States,5/20/2020,1561937,97052,6.213566872
United States,5/21/2020,1587724,98246,6.187851289
United States,5/22/2020,1611383,99450,6.17171709
United States,5/23/2020,1632503,100524,6.157660966
United States,5/24/2020,1652809,101165,6.120791937
United States,5/25/2020,1671298,101762,6.088800441
United States,5/26/2020,1690282,102418,6.05922562
United States,5/27/2020,1709756,103896,6.076656552
United States,5/28/2020,1731479,104985,6.063313503
